Event Name,Event Start,Event End,Event Location,Event Description
Golf - District 9 Tournament,2025-09-25,2025-09-26,,"Location: Oak Hills Golf Course
"
HS Volleyball vs Smith County,2025-09-25 05:00 PM,2025-09-25 07:00 PM,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","JV - 5PM, V - 6PM
"
HS Girls Soccer vs Merrol Hyde Magnet,2025-09-25 07:00 PM,2025-09-25 08:30 PM,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","
"
HS Football vs Hickman,2025-09-26 07:00 PM,2025-09-26 09:30 PM,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","
"
HS Volleyball White House Heritage,2025-09-29 01:30 PM,2025-09-29 03:30 PM,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","V - 1:30pm, JV - After
"
HS JV Football vs Westmoreland,2025-09-29 06:00 PM,2025-09-29 08:30 PM,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","
"
Golf - Region Tournament,2025-09-30,2025-10-01,,"Location: Twelve Stones
"
HS Volleyball vs Portland,2025-09-30 05:00 PM,2025-09-30 07:00 PM,,"JV - 5pm, V - 6pm
"
HS Girls Soccer @ Mcewen HS,2025-09-30 06:00 PM,2025-09-30 07:30 PM,,"
"
HS Volleyball vs Sycamore,2025-10-01 05:00 PM,2025-10-01 07:00 PM,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","JV - 5pm, V - 6pm
"
HS Volleyball vs Greenbrier,2025-10-02 05:00 PM,2025-10-02 07:00 PM,"Greenbrier High School (126 Cuniff Dr, Greenbrier, TN 37073, United States)","JV - 5PM, V - 6PM
"
HS Football vs East Hickman,2025-10-03 07:00 PM,2025-10-03 09:30 PM,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","
"
HS Volleyball JV District Tournament,2025-10-04,2025-10-05,,"Details to be determined.
"
HS Volleyball Varsity Tournament,2025-10-06,2025-10-09,,"Location: Gordonsville.

Details to be determined.
"
